feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K02062	Treatment	L. kimchicus	1.48413546457887	0.848456024288293	201	191	0.0924179733456149	0.240332897163528
K09116	Age.category	Adult	-0.560707868110876	0.331483281530954	201	42	0.0924340789820857	0.240343184861149
K00074	Treatment	L. kimchicus	1.13304766944764	0.648552876068507	201	201	0.0925147127645174	0.240363317077598
K03458	Treatment	L. kimchicus	1.54538419124725	0.885002987819252	201	197	0.0925147253174014	0.240363317077598
K12256	Treatment	L. kimchicus	1.62320825884091	0.928535850108374	201	156	0.0925135233360088	0.240363317077598
K15987	Treatment	L. kimchicus	1.34714736179801	0.770206159023628	201	200	0.0924785742447208	0.240363317077598
K17462	Age.category	Adult	-1.24858187055255	0.738162063875159	201	166	0.0924758057026833	0.240363317077598
K18455	Age.category	D15	-0.654026262263866	0.386651482612371	201	200	0.0924728641859316	0.240363317077598
K09018	Age.category	D15	-0.908920264858878	0.537435642652353	201	174	0.0925269369185778	0.240363475525057
K03521	Treatment	L. kimchicus	1.24494095894758	0.712789711691264	201	201	0.0925557762016	0.240394505637469
K08999	Treatment	L. kimchicus	1.31202042742985	0.750555075304462	201	201	0.0925737254062095	0.240394505637469
K18913	Treatment	L. kimchicus	1.38564339915344	0.790959932101435	201	172	0.0925753383857163	0.240394505637469
K03195	Treatment	L. kimchicus	1.8659324295142	1.06769267470512	201	176	0.0927056945059337	0.240675481511402
K15314	Age.category	Adult	-0.877316841298898	0.519057424418978	201	58	0.0927078742855566	0.240675481511402
K00979	Age.category	D15	-0.605020481351498	0.357966395737745	201	201	0.0927236324405238	0.240684804741955
K08320	Age.category	Adult	1.4832900236406	0.87769497600843	201	130	0.0927659363749998	0.240763021958836
K01637	Treatment	L. kimchicus	1.22608894727397	0.702946669917134	201	200	0.0927867785670083	0.24078552454579
K09777	Treatment	L. kimchicus	1.52312870414238	0.872412329289325	201	185	0.0928175505124293	0.240833785970209
K03299	Age.category	D15	-0.534545089667938	0.316373275541535	201	201	0.0928462218718423	0.240876585058201
K09967	Age.category	Adult	1.08228677207316	0.640681559539456	201	196	0.0929160326971927	0.241026089537879
K11003	Age.category	D15	-1.00977041678942	0.598027568968095	201	133	0.0929972235821744	0.241205071050554
K05970	Treatment	L. kimchicus	1.55319837656828	0.889703362137897	201	168	0.0930125435983623	0.241213180055428
K18817	Treatment	L. kimchicus	0.733056675965853	0.421772335877531	201	62	0.0930687881409234	0.241327404247444
K19265	Age.category	D15	-0.600882261828611	0.35606051665002	201	200	0.0932413387163654	0.241743140561879
K05825	Treatment	L. kimchicus	1.40286920304043	0.804573454274913	201	195	0.0932700056145128	0.241779609859277
